outcome,n,top_arbitration_mode,top_friction
authenticity_flag,3,"[[""human_arbiter"", 3]]","[[""authenticity_or_identity_risk"", 3], [""evidence_ambiguity"", 3], [""human_arbiter_selected_prelock"", 3], [""seller_trust_gap"", 1]]"
buyer_remorse,7,"[[""none"", 7]]",[]
clean_close,169,"[[""none"", 169]]",[]
insured_damaged,6,"[[""human_arbiter_agent_assisted"", 2], [""automated_escalated_to_human"", 2]]","[[""evidence_ambiguity"", 6], [""human_arbiter_selected_prelock"", 4], [""seller_trust_gap"", 2]]"
insured_lost,4,"[[""automated_escalated_to_human"", 2], [""automated"", 2]]","[[""evidence_ambiguity"", 2]]"
local_handoff_dispute,4,"[[""human_arbiter_agent_assisted"", 2], [""human_arbiter"", 1]]","[[""evidence_ambiguity"", 4], [""in_person_handoff_ambiguity"", 4], [""human_arbiter_selected_prelock"", 3], [""case_scope_outside_automation"", 1]]"
material_misdescription,12,"[[""automated_escalated_to_human"", 6], [""human_arbiter"", 4]]","[[""evidence_ambiguity"", 12], [""human_arbiter_selected_prelock"", 6], [""bond_penalty_above_auto_cap"", 6], [""refund_above_auto_cap"", 6]]"
minor_condition_delta,18,"[[""human_arbiter_agent_assisted"", 8], [""automated"", 5]]","[[""human_arbiter_selected_prelock"", 13], [""seller_trust_gap"", 3]]"
porch_theft,5,"[[""human_arbiter_agent_assisted"", 4], [""human_arbiter"", 1]]","[[""delivery_risk_ambiguous"", 5], [""evidence_ambiguity"", 5], [""human_arbiter_selected_prelock"", 5], [""seller_trust_gap"", 2]]"
route_delay,5,"[[""human_arbiter_agent_assisted"", 2], [""human_arbiter"", 1]]","[[""human_arbiter_selected_prelock"", 4], [""seller_trust_gap"", 1]]"
seller_nonship,5,"[[""human_arbiter"", 3], [""human_arbiter_agent_assisted"", 2]]","[[""human_arbiter_selected_prelock"", 5], [""seller_trust_gap"", 2]]"
underinsured_lost,4,"[[""human_arbiter"", 3], [""human_arbiter_agent_assisted"", 1]]","[[""evidence_ambiguity"", 4], [""human_arbiter_selected_prelock"", 4], [""route_gap_owner_review"", 4], [""seller_trust_gap"", 1]]"
uninsured_lost,4,"[[""automated_escalated_to_human"", 4]]","[[""evidence_ambiguity"", 4], [""route_gap_owner_review"", 4]]"
wrong_card,4,"[[""human_arbiter"", 2], [""automated_escalated_to_human"", 1]]","[[""authenticity_or_identity_risk"", 4], [""evidence_ambiguity"", 4], [""human_arbiter_selected_prelock"", 3], [""bond_penalty_above_auto_cap"", 1]]"
